
C:\Users\Thomas\Documents\Dev\LOLPython>c:\Python27\python.exe LOL_json_read1.py 5 CSV 4 * 
LOLPyth  version  1.70 - 16Jun2016
--- mode 5 - collection info for all champions
Name           ,Title                     ,Type(s)              ,Att,Def,Mag,Diff,range,name,desc,range,name,desc,range,name,desc,range,name,desc,
Twitch         ,the Plague Rat           , Marksman Assassin  ,9,2,3,6,20,"Ambush","Twitch becomes invisible for a short duration and, while invisible, he gains Movement Speed. When leaving invisibility, Twitch gains Attack Speed for a short duration.<br><br>When an enemy champion with Deadly Venom dies, Ambush's cooldown is reset.",950,"Venom Cask","Twitch hurls a cask of venom that explodes in an area, slowing targets and applying deadly venom to the target.",1200,"Contaminate","Twitch wreaks further havoc on poisoned enemies with a blast of his vile diseases.",1200,"Rat-Ta-Tat-Tat","Twitch unleashes the full power of his crossbow, shooting bolts over a great distance that pierce all enemies caught in their path.",
Vel'Koz        ,the Eye of the Void      , Mage               ,2,2,10,8,1050,"Plasma Fission","Vel'Koz shoots a bolt of plasma that splits in two on reactivation or upon hitting an enemy. The bolt slows and damages on hit.",1050,"Void Rift","Vel'Koz opens a rift to the void that deals an initial burst of damage, then explodes for a second burst of damage after a delay.",810,"Tectonic Disruption","Vel'Koz causes an area to explode, knocking up enemies, and knocking close enemies slightly away.",1575,"Life Form Disintegration Ray","Vel'Koz unleashes a channelled beam that follows the cursor for 2.5 seconds that deals magic damage. Organic Deconstruction Researches enemy champions causing them to take true damage instead.",
Twisted Fate   ,the Card Master          , Mage               ,6,2,6,9,10000,"Wild Cards","Twisted Fate throws three cards, dealing damage to each enemy unit they pass through.",200,"Pick A Card","Twisted Fate chooses a magic card from his deck, and uses that for his next attack, causing bonus effects.",0,"Stacked Deck","Every 4 attacks, Twisted Fate deals bonus damage. In addition, his Attack Speed is increased.",5500,"Destiny","Twisted Fate predicts the fortunes of his foes, revealing all enemy champions and enabling the use of Gate, which teleports Twisted Fate to any target location in 1.5 seconds.",
Vladimir       ,the Crimson Reaper       , Mage Tank          ,2,6,8,7,600,"Transfusion","Vladimir steals life from the target enemy. When Vladimir's resource is full, Transfusion will benefit from massively increased damage and healing for a brief time.",350,"Sanguine Pool","Vladimir sinks into a pool of blood, becoming untargetable for 2 seconds. Additionally, enemies on the pool are slowed and Vladimir siphons life from them.",600,"Tides of Blood","Vladimir pays his own health to charge up a reservoir of blood which, when released, deals damage in the area around him but can be blocked by enemy units.",625,"Hemoplague","Vladimir infects an area with a virulent plague. Affected enemies take increased damage for the duration. After a few seconds, Hemoplague deals magic damage infected enemies and heals Vladimir for each enemy Champion hit.",
Hecarim        ,the Shadow of War        , Fighter Tank       ,8,6,4,6,350,"Rampage","Hecarim cleaves nearby enemies dealing physical damage. ",525,"Spirit of Dread","Hecarim deals magic damage to nearby enemies for a short duration. Hecarim gains Health equal to a percentage of any damage those enemies suffer.",300,"Devastating Charge","Hecarim gains increasing Movement Speed and can move through units for a short duration. His next attack knocks the target back and deals additional physical damage based on the distance he has traveled since activating the ability. ",50000,"Onslaught of Shadows","Hecarim summons spectral riders and charges forward, dealing magic damage in a line. Hecarim creates a shockwave when he finishes his charge, causing nearby enemies to flee in terror.",
Kha'Zix        ,the Voidreaver           , Assassin Fighter   ,9,4,3,6,325,"Taste Their Fear","Kha'Zix passively marks enemies that are isolated from nearby allies. Taste Their Fear deals physical damage to a single target. Damage increased on isolated targets. If he chooses to <span class="color00DD33">Evolve Enlarged Claws</span>, this deals extra bonus damage against isolated targets. Kha'Zix also gains increased range on his basic attacks and Taste Their Fear.",1000,"Void Spike","Kha'Zix fires exploding spikes that slow and deal physical damage to enemies hit. Kha'Zix is healed if he is also within the explosion radius. If he chooses to <span class="color00DD33">Evolve Spike Racks</span>, Void Spike fires three spikes in a cone and Void Spike's slow effect is increased.",700,"Leap","Kha'Zix leaps to an area, dealing physical damage upon landing. If he chooses to <span class="color00DD33">Evolve Wings</span>, Leap's range increases dramatically. Also, on champion kill or assist, Leap's cooldown resets.",25000,"Void Assault","Each rank allows Kha'Zix to evolve one of his abilities, giving it a unique additional effect. When activated, Void Assault stealths Kha'Zix, triggers Unseen Threat, and increases Movement Speed. If he chooses to <span class="color00DD33">Evolve Active Camouflage</span>, Void Assault can be cast three times and stealth duration increased.",
Darius         ,the Hand of Noxus        , Fighter Tank       ,9,5,1,2,1,"Decimate","Darius winds up and swings his axe in a wide circle. Enemies struck by the blade take more damage than those struck by the handle. Darius heals based on enemy champions hit by the blade.",300,"Crippling Strike","Darius's next attack strikes an enemy's crucial artery. As they bleed out, their Movement Speed is slowed.",535,"Apprehend","Darius hones his axe, passively causing his physical damage to ignore a percentage of his target's Armor. When activated, Darius sweeps up his enemies with his axe's hook and pulls them to him.",460,"Noxian Guillotine","Darius leaps to an enemy champion and strikes a lethal blow, dealing true damage. This damage is increased for each stack of Hemorrhage on the target. If Noxian Guillotine is a killing blow, its cooldown is refreshed for a brief duration.",
Nami           ,the Tidecaller           , Support Mage       ,4,3,7,5,875,"Aqua Prison","Sends a bubble to a target area, dealing damage and stunning all enemies on impact.",725,"Ebb and Flow","Unleashes a stream of water that bounces back and forth between allied and enemy champions, healing allies and damaging enemies.",800,"Tidecaller's Blessing","Empowers an allied champion for a short duration. The ally's basic attacks deal bonus magic damage and slow the target.",2550,"Tidal Wave","Summons a massive Tidal Wave that knocks up, slows, and damages enemies. Allies hit gain double the effect of Surging Tides.",
Aatrox         ,the Darkin Blade         , Fighter Tank       ,8,4,3,4,25000,"Dark Flight","Aatrox takes flight and slams down at a targeted location, dealing damage and knocking up enemies at the center of impact.",1,"Blood Thirst / Blood Price","While toggled on Aatrox deals bonus damage every third subsequent attack at the expense of his own Health. While toggled off Aatrox restores Health every third subsequent attack.",1000,"Blades of Torment","Aatrox unleashes the power of his blade, dealing damage to enemies hit and slowing them.",550,"Massacre","Aatrox draws in the blood of his foes, damaging all nearby enemy champions around him and gaining increased Attack Speed and bonus Attack Range for a short duration.",
Jayce          ,the Defender of Tomorrow , Fighter Marksman   ,8,4,3,7,600,"To the Skies! / Shock Blast","Hammer Stance: Leaps to an enemy dealing physical damage and slowing enemies.<br><br>Cannon Stance: Fires an orb of electricity that detonates upon hitting an enemy (or reaching the end of its path) dealing physical damage to all enemies hit.",285,"Lightning Field / Hyper Charge","Hammer Stance: Passive: Restores Mana per strike. Active: Creates a field of lightning damaging nearby enemies for several seconds.<br><br>Cannon Stance: Gains a burst of energy, increasing Attack Speed to maximum for several attacks.",240,"Thundering Blow / Acceleration Gate","Hammer Stance: Deals magic damage to an enemy and knocks them back a short distance.<br><br>Cannon Stance: Deploys an Acceleration Gate increasing the Movement Speed of all allied champions who pass through it. If Shock Blast is fired through the gate the missile speed, range, and damage will increase.",600,"Mercury Cannon / Mercury Hammer","Hammer Stance: Transforms the Mercury Hammer into the Mercury Cannon gaining new abilities and increased range. The first attack in this form reduces the target's Armor and Magic Resist.<br><br>Cannon Stance: Transforms the Mercury Cannon into the Mercury Hammer gaining new abilities and increasing Armor and Magic Resist. The first attack in this form deals additional magic damage.",
Lissandra      ,the Ice Witch            , Mage               ,2,5,8,6,725,"Ice Shard","Throws a spear of ice that shatters when it hits an enemy, dealing magic damage and slowing Movement Speed. Shards pass through the target, dealing the same damage to other enemies hit.",450,"Ring of Frost","Freezes nearby enemies in ice, dealing magic damage and rooting them. ",1050,"Glacial Path","Lissandra creates an ice claw that deals magic damage. Reactivating this ability transports Lissandra to the claw's current location.",550,"Frozen Tomb","If cast on an enemy champion, the target is frozen solid, stunning it. If cast on Lissandra, she encases herself in dark ice, healing herself while becoming untargetable and invulnerable. Dark ice then emanates from the target dealing magic damage to enemies and slowing Movement Speed.",
Azir           ,the Emperor of the Sands , Mage Marksman      ,6,3,8,9,875,"Conquering Sands","Azir sends all Sand Soldiers towards a location. Sand Soldiers deal magic damage to enemies they pass through and apply a slow for 1 second.",450,"Arise!","Azir summons a Sand Soldier to attack nearby targets for him, replacing his basic attack against targets within the soldier's range. Their attacks deal magic damage to enemies in a line. Arise! also passively grants attack speed to Azir and his Sand Soldiers.",1100,"Shifting Sands","Azir dashes to one of his Sand Soldiers, damaging enemies. If he hits an enemy champion, he gains a shield.",250,"Emperor's Divide","Azir summons a wall of soldiers which charge forward, knocking back and damaging enemies.",
Jarvan IV      ,the Exemplar of Demacia  , Tank Fighter       ,6,8,3,5,770,"Dragon Strike","Jarvan IV extends his lance, dealing physical damage and lowering the Armor of enemies in its path. Additionally, this will pull Jarvan to his Demacian Standard, knocking up enemies in his path.",525,"Golden Aegis","Jarvan IV calls upon the ancient kings of Demacia to shield him from harm and slow surrounding enemies.",860,"Demacian Standard","Jarvan IV carries the pride of Demacia, passively granting him bonus Attack Speed. Activating Demacian Standard allows Jarvan IV to place a Demacian flag that deals magic damage on impact and grants Attack Speed to nearby allied champions.",650,"Cataclysm","Jarvan IV heroically leaps into battle at a target with such force that he terraforms the surrounding area to create an arena around them. Nearby enemies are damaged at the moment of impact.",
Renekton       ,the Butcher of the Sands , Fighter Tank       ,8,5,2,3,325,"Cull the Meek","Renekton swings his blade, dealing moderate physical damage to all targets around him, and heals for a small portion of the damage dealt. If he has more than 50 Fury, his damage and heal are increased.",300,"Ruthless Predator","Renekton slashes his target twice, dealing moderate physical damage and stuns them for 0.75 seconds. If Renekton has more than 50 Fury, he slashes his target three times, dealing high physical damage and stuns them for 1.5 seconds.",450,"Slice and Dice","Renekton dashes, dealing damage to units along the way. Empowered, Renekton deals bonus damage and reduces the Armor of units hit.",20,"Dominus","Renekton transforms into the Tyrant form, gaining bonus Health and dealing damage to enemies around him. While in this form, Renekton gains Fury periodically.",
Katarina       ,the Sinister Blade       , Assassin Mage      ,4,3,9,8,675,"Bouncing Blades","Katarina throws a dagger that bounces from enemy to enemy, dealing magic damage and marking them. Her next spell or basic attack against a marked target will consume the mark and deal additional magic damage.",400,"Sinister Steel","Katarina whirls her daggers around her, dealing magic damage to all enemies in the area. If she hits an enemy Champion, Katarina gains a burst of speed for a short duration.",700,"Shunpo","Katarina instantly teleports to her target's location and takes reduced damage from enemies for a few seconds. If the target is an enemy, she deals damage.",550,"Death Lotus","Katarina becomes a flurry of blades, throwing daggers with unrivaled speed at up to three nearby Champions. Daggers deal magic damage and reduce self healing on targets hit.",
Malphite       ,Shard of the Monolith    , Tank Fighter       ,5,9,7,2,625,"Seismic Shard","Using his primal elemental magic, Malphite sends a shard of the earth through the ground at his foe, dealing damage upon impact and stealing Movement Speed for 4 seconds.",400,"Brutal Strikes","Malphite starts to hit with such force that his attacks deal damage to all units in front of him. Passively increases his Armor.",400,"Ground Slam","Malphite slams the ground, sending out a shockwave that deals magic damage based on his Armor as damage and reduces the Attack Speed of enemies for a short duration.",1000,"Unstoppable Force","Malphite ferociously charges to a location, damaging enemies and knocking them into the air.",
Maokai         ,the Twisted Treant       , Tank Mage          ,3,8,6,3,600,"Arcane Smash","Maokai knocks back nearby enemies with a shockwave, dealing magic damage and slowing them.",525,"Twisted Advance","Maokai dissolves into a cloud of arcane energies. He regrows near a target enemy, dealing damage and rooting it in place.",1100,"Sapling Toss","Maokai flings a sapling that deals area damage on impact. The sapling then wards the nearby area. When enemies approach, the sapling attacks enemies with an arcane blast.",500,"Vengeful Maelstrom","Maokai shields his allies by drawing power from hostile spells and attacks, reducing non-tower damage done to allied champions in the area. When Maokai ends the effect, he unleashes the absorbed energy to deal damage to enemies within the vortex.",
Nocturne       ,the Eternal Nightmare    , Assassin Fighter   ,9,5,2,4,1125,"Duskbringer","Nocturne throws a shadow blade that deals damage, leaves a Dusk Trail, and causes champions to leave a Dusk Trail. While on the trail, Nocturne can move through units and has increased Movement Speed and Attack Damage.",20,"Shroud of Darkness","Nocturne empowers his blades, passively gaining Attack Speed. Activating Shroud of Darkness allows Nocturne to fade into the shadows, creating a magical barrier which blocks a single enemy ability and doubles his passive Attack Speed if successful.",425,"Unspeakable Horror","Nocturne plants a nightmare into his target's mind, dealing damage each second and terrifying the target if they do not get out of range by the end of the duration.",2500/3250/4000,"Paranoia","Nocturne reduces the sight radius of all enemy champions and removes their ally vision in the process. He can then launch himself at a nearby enemy champion.",
Caitlyn        ,the Sheriff of Piltover  , Marksman           ,8,2,2,6,1250,"Piltover Peacemaker","Caitlyn revs up her rifle for 1 second to unleash a penetrating shot that deals physical damage (deals less damage to subsequent targets).",800,"Yordle Snap Trap","Caitlyn sets a trap to find sneaky yordles. When sprung, the trap reveals and immobilizes the enemy champion for 1.5 seconds.",750,"90 Caliber Net","Caitlyn fires a heavy net to slow her target. The recoil knocks Caitlyn back.",2000/2500/3000,"Ace in the Hole","Caitlyn takes time to line up the perfect shot, dealing massive damage to a single target at a huge range. Enemy champions can intercept the bullet for their ally.",
Swain          ,the Master Tactician     , Mage Fighter       ,2,6,9,8,700,"Decrepify","Swain sends Beatrice to cripple enemies within the target area. Crippled targets are slowed and damaged over time.",900,"Nevermove","Swain marks a target area. After a short delay, mighty talons grab hold of enemy units, dealing damage and rooting them.",625,"Torment","Swain afflicts his target, dealing damage to them over time and causing them to take increased damage from Swain. Enemies afflicted by Torment are focused by Beatrice while Decrepify is active.",625,"Ravenous Flock","Swain inspires dread in his enemies by temporarily taking the form of a raven. During this time ravens strike out at up to 5 nearby enemies. Each raven deals damage and heals Swain by a flat amount.",
Blitzcrank     ,the Great Steam Golem    , Tank Fighter       ,4,8,5,4,925,"Rocket Grab","Blitzcrank fires his right hand to grab an opponent on its path, dealing damage and dragging it back to him.",1,"Overdrive","Blitzcrank super charges himself to get dramatically increased Movement and Attack Speed. He is temporarily slowed after the effect ends.",300,"Power Fist","Blitzcrank charges up his fist to make his next attack deal double damage and pop his target up in the air.",600,"Static Field","Passively causes lightning bolts to damage a nearby enemy. Additionally, Blitzcrank can activate this ability to damage nearby enemies and silence them for 0.5 seconds, but doing so removes the passive lightning until Static Field becomes available again.",
Thresh         ,the Chain Warden         , Support Fighter    ,5,6,6,7,1075,"Death Sentence","Thresh binds an enemy in chains and pulls them toward him. Activating this ability a second time pulls Thresh to the enemy.",950,"Dark Passage","Thresh throws out a lantern that shields nearby allied Champions from damage. Allies can click the lantern to dash to Thresh.",500,"Flay","Thresh's attacks wind up, dealing more damage the longer he waits between attacks. When activated, Thresh sweeps his chain, knocking all enemies hit in the direction of the blow.",450,"The Box","A prison of walls that slow and deal damage if broken.",
Ziggs          ,the Hexplosives Expert   , Mage               ,2,4,9,4,850,"Bouncing Bomb","Ziggs throws a bouncing bomb that deals magic damage.",1000,"Satchel Charge","Ziggs flings an explosive charge that detonates after 4 seconds, or when this ability is activated again. The explosion deals magic damage to enemies, knocking them away. Ziggs is also knocked away, but takes no damage. Ziggs can use the Satchel to hexplode vulnerable enemy turrets.",900,"Hexplosive Minefield","Ziggs scatters proximity mines that detonate on enemy contact, dealing magic damage and slowing.",5000,"Mega Inferno Bomb","Ziggs deploys his ultimate creation, the Mega Inferno Bomb, hurling it an enormous distance. Enemies in the primary blast zone take more damage than those farther away. ",
Fiora          ,the Grand Duelist        , Fighter Assassin   ,10,4,2,3,400,"Lunge","Fiora lunges in a direction and stabs a nearby enemy, dealing physical damage and applying on-hit effects.",750,"Riposte","Fiora parries all incoming damage and disables for a short time, then stabs in a direction. This stab slows the first enemy champion hit, or stuns them if Fiora blocked an immobilizing effect with this ability.",425,"Bladework","Fiora has increased attack speed for the next two attacks. The first attack slows the target, and the second attack will critically strike.",500,"Grand Challenge","Fiora reveals all four Vitals on an enemy champion and gains movement speed while near them. If Fiora hits all 4 Vitals or if the target dies after she has hit at least one, Fiora and her allies in the area are healed over the next few seconds.",
Lulu           ,the Fae Sorceress        , Support Mage       ,4,5,7,5,925,"Glitterlance","Pix and Lulu each fire a bolt of magical energy that heavily slows all enemies it hits. An enemy can only be damaged by one bolt.",650,"Whimsy","If cast on an ally, grants them Movement Speed for a short time. If cast on an enemy, turns them into an adorable critter that can't attack or cast spells.",650,"Help, Pix!","If cast on an ally, commands Pix to jump to an ally and shield them. He then follows them and aids their attacks. If cast on an enemy, commands Pix to jump to an enemy and damage them. He then follows them and grants you vision of that enemy.",900,"Wild Growth","Lulu enlarges an ally, knocking nearby enemies into the air and granting the ally a large amount of bonus health. For the next few seconds, that ally gains an aura that slows nearby enemies.",
Leona          ,the Radiant Dawn         , Tank Support       ,4,8,3,4,100,"Shield of Daybreak","Leona uses her shield to perform her next basic attack, dealing bonus magic damage and stunning the target.",450,"Eclipse","Leona raises her shield to gain Armor and Magic Resist. When the duration first ends, if there are nearby enemies, she will deal magic damage to them and prolong the duration of the effect.",875,"Zenith Blade","Leona projects a solar image of her sword, dealing magic damage to all enemies in a line. When the image fades, the last enemy champion struck will be briefly immobilized and Leona will dash to them.",1200,"Solar Flare","Leona calls down a beam of solar energy, dealing damage to enemies in an area. Enemies in the center of the area are stunned, while enemies on the outside are slowed.",
Nautilus       ,the Titan of the Depths  , Tank Fighter       ,4,6,6,6,950,"Dredge Line","Nautilus hurls his anchor forward. If it hits a champion, he drags both himself and the opponent close together. If it hits terrain, Nautilus instead pulls himself to the anchor and the cooldown of Dredge Line is reduced by half.",350,"Titan's Wrath","Nautilus surrounds himself with dark energies, gaining a shield that blocks incoming damage. While the shield persists, his attacks apply a damage over time effect to enemies around his target.",600,"Riptide","Nautilus slams the ground, causing the earth to explode around him in a set of three explosions. Each explosion damages and slows enemies.",825,"Depth Charge","Nautilus fires a shockwave into the earth that chases an opponent. This shockwave rips up the earth above it, knocking enemies into the air. When it reaches the opponent, the shockwave erupts, knocking his target into the air and stunning them.",
Varus          ,the Arrow of Retribution , Marksman Mage      ,7,3,4,2,925,"Piercing Arrow","Varus readies and then fires a powerful shot that gains extra range and damage the longer he spends preparing to fire.",750,"Blighted Quiver","Varus' basic attacks deal bonus magic damage and apply Blight. Varus' other abilities detonate Blight, dealing magic damage based on the target's maximum Health.",925,"Hail of Arrows","Varus fires a hail of arrows that deal physical damage and desecrate the ground. Desecrated ground slows enemies' Movement Speed and reduces their self healing and regeneration. ",1200,"Chain of Corruption","Varus flings out a damaging tendril of corruption that immobilizes the first enemy champion hit and then spreads towards nearby uninfected champions, immobilizing them too on contact. ",
Sejuani        ,the Winter's Wrath       , Tank Fighter       ,5,7,6,4,650,"Arctic Assault","Charges forward, dealing magic damage and knocking enemies into the air. The charge stops after knocking an enemy champion into the air.",350,"Flail of the Northern Winds","Sejuani's next basic attack deals bonus magic damage to the target and enemies near it. She then spins her flail, dealing magic damage to nearby enemies.",1000,"Permafrost","Abilities and basic attacks apply Frost to enemies. Activating Permafrost damages and slows all nearby enemies with Frost.",1225,"Glacial Prison","Sejuani throws her True Ice bola in a line. If the bola hits an enemy champion, it shatters, stunning the target and nearby enemies. If the bola reaches its maximum range, it shatters and slows nearby enemies. ",
Viktor         ,the Machine Herald       , Mage               ,2,4,10,9,600,"Siphon Power","Viktor blasts an enemy unit dealing magic damage, gaining a shield and empowering his next basic attack.<br><br>Augment: Viktor gains bonus Movement Speed after casting.",700,"Gravity Field","Viktor conjures a heavy gravitational field that slows enemies in its radius. Enemies who stay within the device for too long are stunned.<br><br>Augment: Enemies stunned by Gravity Field are dragged to the center.",525,"Death Ray","Viktor uses his robotic arm to fire a chaos beam that cuts across the field in a line, dealing damage to all enemies in its path.<br><br>Augment: An explosion follows the Death Ray's wake, dealing magic damage.",700,"Chaos Storm","Viktor conjures a singularity on the field which deals magic damage and interrupts enemy channels. The singularity then periodically does magic damage to all nearby enemies. Viktor can redirect the singularity.<br><br>Augment: The Chaos Storm moves faster.",
Mordekaiser    ,the Iron Revenant        , Fighter            ,4,6,7,4,600,"Mace of Spades","Mordekaiser's next three attacks deal escalating bonus damage.",1000,"Harvesters of Sorrow","Coats an ally in magnetic metal, increasing each unit's movement speed toward one another. While near one another, the metal swirls violently dealing damage per second to enemies.",700,"Siphon of Destruction","Mordekaiser deals damage to enemies in a cone in front of him. For each unit hit, Mordekaiser's shield absorbs energy.",650,"Children of the Grave","Mordekaiser curses an enemy champion or the Dragon, stealing a percent of their life initially and each second. If the target dies while the spell is active, their soul is enslaved and will follow Mordekaiser as a ghost.",
Yorick         ,the Gravedigger          , Fighter Mage       ,6,6,6,4,650,"Omen of War","Yorick's next attack will deal bonus physical damage and summon a Spectral Ghoul that deals additional damage and moves faster than Yorick's other ghouls. While the Spectral Ghoul is alive, Yorick moves faster as well.",600,"Omen of Pestilence","Yorick summons a Decaying Ghoul that arrives with a violent explosion, dealing damage and slowing nearby enemies. While the Decaying Ghoul remains alive, nearby enemies continue to be slowed.",550,"Omen of Famine","Yorick steals life from his target and summons a Ravenous Ghoul that heals Yorick for the damage it deals.",850,"Omen of Death","Yorick conjures a revenant in the image of one of his allies. If his ally dies while its revenant is alive, the revenant sacrifices itself to reanimate them and give them time to enact vengeance.",
